,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
34," Naujamiestis, Savanorių pr., 3 kambarių butas",www.aruodas.lt/1-3018885,95000,50.0,49,2021-04-04,2021-04-07,1,3,3,5,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,1900.0
35," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-3018325,44900,46.02,19,2021-04-02,2021-04-08,1,3,1,1,1940,Medinis,Kietu kuru,Neįrengtas     ,Sena statyba,Šnipiškės,975.6627553237722
36," Pašilaičiai, Budiniškių g., 3 kambarių butas",www.aruodas.lt/1-2988033,90600,54.93,15,2021-03-19,2021-04-06,1,3,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pašilaičiai,1649.3719279082468
37," Pilaitė, M. Mažvydo g., 2 kambarių butas",www.aruodas.lt/1-3019505,88235,50.42,1,2021-04-06,2021-04-07,1,2,1,7,2020,Monolitinis,Centrinis,Dalinė apdaila ,Nauja statyba,Pilaitė,1750.0
38," Bajorai, Salaspilio g., 3 kambarių butas",www.aruodas.lt/1-3019509,102000,60.87,5,2021-04-06,2021-04-06,1,3,1,4,2020,Monolitinis,Dujinis,Dalinė apdaila ,Nauja statyba,Bajorai,1675.7023164120258
39," Markučiai, Pakraščio g., 2 kambarių butas",www.aruodas.lt/1-3015805,111200,45.23,10,2021-03-29,2021-04-06,1,2,3,7,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Markučiai,2458.545213353969
40," Naujamiestis, J. Basanavičiaus g., 2 kambarių butas",www.aruodas.lt/1-3019797,83000,33.6,20,2021-04-07,2021-04-07,0,2,0,4,1953,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2470.238095238095
41," Antakalnis, Klinikų g., 3 kambarių butas",www.aruodas.lt/1-3016127,130000,56.33,9,2021-04-05,2021-04-07,0,3,4,5,1960,Mūrinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,2307.82886561335
42," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3018321,140000,84.0,85,2021-04-07,2021-04-07,1,3,6,6,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Justiniškės,1666.6666666666667
43," Žirmūnai, Žvalgų g., 2 kambarių butas",www.aruodas.lt/1-3013979,88150,39.08,6,2021-03-22,2021-04-07,1,2,4,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Žirmūnai,2255.629477993859
44," Pilaitė, Įsruties g., 3 kambarių butas",www.aruodas.lt/1-2778423,125000,60.0,59,2021-03-23,2021-04-07,0,3,3,9,2013,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pilaitė,2083.3333333333335
45," Pilaitė, Karaliaučiaus g., 2 kambarių butas",www.aruodas.lt/1-2947613,94000,68.29,61,2021-04-07,2021-04-07,1,2,1,5,2020,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pilaitė,1376.4826475325815
46," Dvarčionys, Kregždžių g., 2 kambarių butas",www.aruodas.lt/1-3018821,46800,39.0,28,2021-04-04,2021-04-08,1,2,2,2,1996,Mūrinis,Dujinis,Įrengtas,Sena statyba,Dvarčionys,1200.0
47," Žirmūnai, Žirmūnų g., 3 kambarių butas",www.aruodas.lt/1-3015615,135000,59.74,17,2021-03-26,2021-04-07,1,3,3,11,2008,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Žirmūnai,2259.792433880147
48," Pašilaičiai, Eitminų g., 2 kambarių butas",www.aruodas.lt/1-3018739,84900,41.82,11,2021-04-03,2021-04-03,1,2,9,9,2011,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,2030.1291248206599
49," Antakalnis, P. Vileišio g., 3 kambarių butas",www.aruodas.lt/1-3016847,129700,74.63,25,2021-03-30,2021-04-07,1,3,3,4,1967,Monolitinis,Kita,Įrengtas,Sena statyba,Antakalnis,1737.907007905668
