,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
629," Žemieji Paneriai, Ūmėdžių g., 2 kambarių butas",www.aruodas.lt/1-2976763,63000,46.21,28,2021-03-31,2021-03-31,1,2,1,6,1994,Mūrinis,Centrinis,Įrengtas,Sena statyba,Žemieji Paneriai,1363.3412681237828
630," Žemieji Paneriai, Ūmėdžių g., 1 kambario butas",www.aruodas.lt/1-2975073,63000,46.21,13,2021-03-31,2021-03-31,1,1,1,6,1994,Mūrinis,Centrinis,Įrengtas,Sena statyba,Žemieji Paneriai,1363.3412681237828
631," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3017343,92000,55.0,7,2021-03-31,2021-04-07,1,2,6,9,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Justiniškės,1672.7272727272727
632," Pašilaičiai, Gabijos g., 3 kambarių butas",www.aruodas.lt/1-3017333,86000,66.74,13,2021-03-31,2021-03-31,1,3,1,5,1989,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1288.5825591848968
633," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3017325,73000,54.0,12,2021-03-31,2021-03-31,1,2,6,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Pašilaičiai,1351.851851851852
634," Naujoji Vilnia, Pramonės g., 2 kambarių butas",www.aruodas.lt/1-3017323,32300,28.0,7,2021-03-31,2021-03-31,1,2,5,5,1979,Mūrinis,Elektra,Įrengtas,Sena statyba,Naujoji Vilnia,1153.5714285714287
635," Žvėrynas, Deltuvos g., 2 kambarių butas",www.aruodas.lt/1-3017301,113900,37.35,23,2021-03-31,2021-04-02,1,2,6,9,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Žvėrynas,3049.5314591700135
636," Šeškinė, Deltuvos g., 2 kambarių butas",www.aruodas.lt/1-3017303,113900,37.35,9,2021-03-31,2021-04-02,1,2,6,9,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Šeškinė,3049.5314591700135
637," Pilaitė, Gilužio g., 3 kambarių butas",www.aruodas.lt/1-3017265,134000,66.9,8,2021-03-31,2021-03-31,1,3,2,3,2021,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Pilaitė,2002.9895366218234
638," Naujininkai, Kaminkelio g., 2 kambarių butas",www.aruodas.lt/1-3017229,92000,60.89,27,2021-03-31,2021-04-03,1,2,5,5,1999,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1510.9213335523075
639," Naujininkai, Kaminkelio g., 2 kambarių butas",www.aruodas.lt/1-3017217,92000,60.89,12,2021-03-31,2021-04-03,1,2,5,5,1999,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujininkai,1510.9213335523075
640," Baltupiai, Didlaukio g., 3 kambarių butas",www.aruodas.lt/1-3017211,95000,64.0,39,2021-03-31,2021-03-31,1,3,4,9,1978,Blokinis,Centrinis,Įrengtas,Sena statyba,Baltupiai,1484.375
641," Žvėrynas, Siesikų g., 2 kambarių butas",www.aruodas.lt/1-3017191,137000,43.0,8,2021-03-31,2021-03-31,1,2,6,8,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Žvėrynas,3186.046511627907
642," Šnipiškės, Kernavės g., 2 kambarių butas",www.aruodas.lt/1-3005863,88000,35.55,13,2021-03-31,2021-03-31,1,2,4,6,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2475.3867791842476
643," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3017149,99390,39.19,22,2021-03-30,2021-04-01,1,2,4,4,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Lazdynėliai,2536.106149527941
644," Naujoji Vilnia, Pergalės g., 2 kambarių butas",www.aruodas.lt/1-2990149,66000,37.0,49,2021-03-30,2021-04-06,1,2,3,4,1965,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1783.7837837837837
645," Fabijoniškės, Salomėjos Nėries g., 2 kambarių butas",www.aruodas.lt/1-3017115,88000,45.0,16,2021-03-30,2021-03-31,1,2,6,12,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Fabijoniškės,1955.5555555555557
646," Pašilaičiai, Medeinos g., 2 kambarių butas",www.aruodas.lt/1-3017093,75000,50.5,39,2021-03-30,2021-04-07,1,2,8,9,1992,Blokinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1485.148514851485
647," Žvėrynas, D. Poškos g., 2 kambarių butas",www.aruodas.lt/1-3017085,98000,29.79,6,2021-03-30,2021-04-02,1,2,1,2,1940,Medinis,Dujinis,Įrengtas,Sena statyba,Žvėrynas,3289.6945283652235
648," Žvėrynas, D. Poškos g., 1 kambario butas",www.aruodas.lt/1-3017083,98000,29.79,6,2021-03-30,2021-04-02,1,1,1,2,1940,Medinis,Dujinis,Įrengtas,Sena statyba,Žvėrynas,3289.6945283652235
649," Pašilaičiai, Budiniškių g., 2 kambarių butas",www.aruodas.lt/1-2975909,93700,43.28,23,2021-03-30,2021-03-30,1,2,6,6,2022,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pašilaičiai,2164.9722735674677
650," Pašilaičiai, Salomėjos Nėries g., 2 kambarių butas",www.aruodas.lt/1-3016991,95000,47.0,3,2021-03-30,2021-03-30,1,2,6,12,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,2021.276595744681
651," Bajorai, Fizikų g., 3 kambarių butas",www.aruodas.lt/1-3016961,126600,68.48,28,2021-03-30,2021-04-07,1,3,1,4,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Bajorai,1848.714953271028
652," Visoriai, Fizikų g., 3 kambarių butas",www.aruodas.lt/1-3016957,126600,68.48,5,2021-03-30,2021-04-07,1,3,1,4,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Visoriai,1848.714953271028
653," Bajorai, Fizikų g., 3 kambarių butas",www.aruodas.lt/1-3003543,126600,68.48,12,2021-02-25,2021-02-25,1,3,1,4,2019,Kita,Centrinis kolektorinis,Įrengtas,Nauja statyba,Bajorai,1848.714953271028
654," Pilaitė, Karaliaučiaus g., 3 kambarių butas",www.aruodas.lt/1-3012401,138000,73.0,33,2021-03-30,2021-03-30,1,3,2,5,2020,Blokinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,1890.4109589041095
655," Pilaitė, Karaliaučiaus g., 3 kambarių butas",www.aruodas.lt/1-3012395,129000,65.0,47,2021-03-30,2021-03-30,1,3,4,4,2020,Blokinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,1984.6153846153845
657," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3016937,88000,51.0,10,2021-03-30,2021-03-30,1,3,2,9,1984,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1725.4901960784314
658," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3016923,82500,40.83,3,2021-03-30,2021-03-30,1,2,2,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2020.5731080088171
659," Šnipiškės, Kalvarijų g., 3 kambarių butas",www.aruodas.lt/1-3016899,134500,71.0,55,2021-03-30,2021-03-30,1,3,7,9,1972,Blokinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1894.3661971830986
660," Šnipiškės, Linkmenų g., 2 kambarių butas",www.aruodas.lt/1-2955157,117040,45.89,41,2021-03-30,2021-03-30,1,2,1,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2550.4467204183916
661," Šnipiškės, Linkmenų g., 2 kambarių butas",www.aruodas.lt/1-2955077,115125,46.0,67,2021-03-30,2021-03-30,1,2,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2502.717391304348
662," Senamiestis, Paupio g., 2 kambarių butas",www.aruodas.lt/1-3016833,88638,26.9,8,2021-03-30,2021-04-06,1,2,1,4,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Senamiestis,3295.0929368029742
663," Senamiestis, Paupio g., 1 kambario butas",www.aruodas.lt/1-3016809,86638,26.86,12,2021-03-30,2021-04-06,1,1,1,4,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Senamiestis,3225.5398361876396
664," Pilaitė, Papilėnų g., 3 kambarių butas",www.aruodas.lt/1-3016795,85000,62.0,9,2021-03-30,2021-04-07,1,3,3,5,1991,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1370.967741935484
665," Pilaitė, Papilėnų g., 3 kambarių butas",www.aruodas.lt/1-3015173,85000,62.0,12,2021-03-25,2021-03-30,1,3,3,5,1991,Blokinis,Centrinis,Įrengtas,Sena statyba,Pilaitė,1370.967741935484
666," Pagiriai, Kaštonų g., 2 kambarių butas",www.aruodas.lt/1-3016785,59000,49.0,17,2021-03-30,2021-03-30,1,2,3,5,1980,Blokinis,Centrinis,Įrengtas,Sena statyba,Pagiriai,1204.0816326530612
667," Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių butas",www.aruodas.lt/1-3016735,78700,41.44,4,2021-03-29,2021-03-29,1,2,1,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Karoliniškės,1899.1312741312743
668," Karoliniškės, Algimanto Petro Kavoliuko g., 3 kambarių butas",www.aruodas.lt/1-3016727,106400,56.01,5,2021-03-29,2021-03-29,1,3,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Karoliniškės,1899.6607748616318
669," Pilaitė, Bitėnų g., 3 kambarių butas",www.aruodas.lt/1-3016655,130000,62.1,10,2021-03-29,2021-03-31,1,3,1,5,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,2093.3977455716586
670," Kalnėnai, Kašubų g., 2 kambarių butas",www.aruodas.lt/1-3016649,92448,57.78,3,2021-03-29,2021-04-02,1,2,2,2,2020,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Kalnėnai,1600.0
671," Markučiai, Pakraščio g., 2 kambarių butas",www.aruodas.lt/1-3015803,109700,45.36,7,2021-03-29,2021-03-29,1,2,1,7,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Markučiai,2418.4303350970017
672," Markučiai, Pakraščio g., 2 kambarių butas",www.aruodas.lt/1-3000969,118400,45.21,17,2021-03-29,2021-03-29,1,2,4,6,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Markučiai,2618.8896261888963
673," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-2984791,92500,45.8,24,2021-03-29,2021-03-29,1,2,3,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2019.6506550218342
674," Lazdynėliai, Lazdynėlių g., 3 kambarių butas",www.aruodas.lt/1-2984797,109900,56.0,18,2021-03-29,2021-03-29,1,3,1,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1962.5
675," Senamiestis, V. Šopeno g., 3 kambarių butas",www.aruodas.lt/1-3016607,115000,63.82,13,2021-03-29,2021-03-30,1,3,2,4,1897,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,1801.9429645879034
676," Lazdynėliai, Lazdynėlių g., 3 kambarių butas",www.aruodas.lt/1-3016593,112600,57.47,4,2021-03-29,2021-03-31,1,3,4,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1959.283104228293
677," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3012363,90396,37.87,7,2021-03-29,2021-03-29,1,2,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,2387.008185899129
678," Naujamiestis, Smolensko g., 2 kambarių butas",www.aruodas.lt/1-3016549,97000,50.26,20,2021-03-29,2021-03-29,1,2,2,3,2013,Mūrinis,Dujinis,Įrengtas,Sena statyba,Naujamiestis,1929.9641862315957
679," Žirmūnai, Rinktinės g., 2 kambarių butas",www.aruodas.lt/1-3002327,46500,38.0,26,2021-03-29,2021-03-29,1,2,5,5,1968,Mūrinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1223.6842105263158
680," Šnipiškės, Rinktinės g., 2 kambarių butas",www.aruodas.lt/1-3000489,46500,37.86,17,2021-03-18,2021-03-25,1,2,5,5,1968,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1228.2091917591126
681," Šnipiškės, Rinktinės g., 2 kambarių butas",www.aruodas.lt/1-3009869,46500,37.86,9,2021-03-11,2021-03-27,1,2,5,5,1968,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1228.2091917591126
682," Žirmūnai, Žirmūnų g., 2 kambarių butas",www.aruodas.lt/1-3016495,103000,44.62,41,2021-03-29,2021-04-07,1,2,1,5,1966,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,2308.381891528463
683," Pilaitė, Bitėnų g., 3 kambarių butas",www.aruodas.lt/1-3012411,115000,57.25,90,2021-03-29,2021-03-30,1,3,4,5,2021,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pilaitė,2008.7336244541484
684," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3016435,76700,36.7,0,2021-03-29,2021-03-29,1,2,4,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2089.91825613079
685," Šnipiškės, Kernavės g., 3 kambarių butas",www.aruodas.lt/1-2967393,120000,59.84,52,2021-03-29,2021-03-29,1,3,1,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2005.3475935828876
686," Šnipiškės, Kernavės g., 3 kambarių butas",www.aruodas.lt/1-3011723,120000,59.84,5,2021-03-16,2021-03-29,1,3,1,6,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Šnipiškės,2005.3475935828876
687," Lazdynai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3016387,75700,37.05,10,2021-03-29,2021-03-30,1,2,2,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynai,2043.1848852901487
688," Baltupiai, Juozo Balčikonio g., 2 kambarių butas",www.aruodas.lt/1-3001739,139000,51.04,23,2021-03-29,2021-04-03,1,2,1,5,2010,Mūrinis,Centrinis,Įrengtas,Sena statyba,Baltupiai,2723.3542319749217
689," Naujamiestis, Vytenio g., 3 kambarių butas",www.aruodas.lt/1-3013657,87000,57.49,68,2021-03-29,2021-03-31,1,3,4,4,1966,Mūrinis,Elektra,Įrengtas,Sena statyba,Naujamiestis,1513.3066620281788
690," Lazdynėliai, Lazdynėlių g., 3 kambarių butas",www.aruodas.lt/1-3016361,108300,55.6,7,2021-03-29,2021-03-30,1,3,4,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1947.841726618705
691," Jeronimo Ralio g., 2 kambarių butas",www.aruodas.lt/1-3016319,112000,30.11,11,2021-03-29,2021-04-06,1,2,5,5,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Jeronimo Ralio g.,3719.694453669877
692," Lazdynai, Architektų g., 2 kambarių butas",www.aruodas.lt/1-3016243,69000,46.7,32,2021-03-28,2021-04-06,1,2,2,5,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1477.5160599571734
693," Pašilaičiai, Leičių g., 2 kambarių butas",www.aruodas.lt/1-3016229,68200,48.0,12,2021-03-28,2021-03-31,1,2,1,9,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Pašilaičiai,1420.8333333333333
694," Pašilaičiai, Perkūnkiemio g., 2 kambarių butas",www.aruodas.lt/1-3016215,98200,61.0,18,2021-03-28,2021-04-06,1,2,6,8,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1609.8360655737704
695," Paupys, Paupio g., 2 kambarių butas",www.aruodas.lt/1-3008819,119000,37.64,23,2021-03-28,2021-03-28,1,2,1,2,1940,Mūrinis,Dujinis,Įrengtas,Sena statyba,Paupys,3161.530286928799
696," Fabijoniškės, Fabijoniškių g., 2 kambarių butas",www.aruodas.lt/1-3016205,89000,59.0,63,2021-03-28,2021-04-01,1,2,3,5,2000,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Fabijoniškės,1508.4745762711864
697," Justiniškės, Taikos g., 3 kambarių butas",www.aruodas.lt/1-3016161,85000,66.7,35,2021-03-28,2021-03-30,1,3,5,9,1985,Blokinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1274.3628185907046
698," Pašilaičiai, Gabijos g., 2 kambarių butas",www.aruodas.lt/1-3016135,78000,52.0,26,2021-03-28,2021-04-02,1,2,7,9,1995,Monolitinis,Centrinis,Įrengtas,Sena statyba,Pašilaičiai,1500.0
699," Antakalnis, Švyturio g., 2 kambarių butas",www.aruodas.lt/1-3013147,70000,46.0,103,2021-03-28,2021-04-03,1,2,4,5,1962,Blokinis,Centrinis,Įrengtas,Sena statyba,Antakalnis,1521.7391304347825
700," Naujamiestis, Kapsų g., 3 kambarių butas",www.aruodas.lt/1-2981871,133500,59.13,27,2021-03-28,2021-03-28,1,3,6,7,2020,Kita,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2257.7371892440383
701," Naujoji Vilnia, Parko g., 3 kambarių butas",www.aruodas.lt/1-3015961,76000,66.0,9,2021-03-27,2021-04-03,1,3,2,5,1989,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1151.5151515151515
702," Naujoji Vilnia, Parko g., 3 kambarių butas",www.aruodas.lt/1-2990685,76000,66.0,21,2021-03-20,2021-04-06,1,3,2,5,1974,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1151.5151515151515
703," Naujamiestis, Vytenio g., 2 kambarių butas",www.aruodas.lt/1-3015913,87900,37.41,20,2021-03-27,2021-03-27,1,2,2,4,2020,Mūrinis,Dujinis,Įrengtas,Nauja statyba,Naujamiestis,2349.6391339214115
704," Grigiškės, Kovo 11-osios g., 3 kambarių butas",www.aruodas.lt/1-3015911,105000,74.68,3,2021-03-27,2021-03-31,1,3,1,5,1997,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1405.9989287627209
705," Naujamiestis, Vytenio g., 2 kambarių butas",www.aruodas.lt/1-3015909,116900,54.77,5,2021-03-27,2021-04-07,1,2,2,4,2020,Mūrinis,Dujinis,Įrengtas,Nauja statyba,Naujamiestis,2134.3801351104617
706," Lazdynai, Architektų g., 3 kambarių butas",www.aruodas.lt/1-3015807,82000,61.2,5,2021-03-26,2021-03-29,1,3,4,5,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1339.8692810457517
707," Grigiškės, Kunigiškių g., 2 kambarių butas",www.aruodas.lt/1-3015751,78900,52.0,2,2021-03-26,2021-03-26,1,2,4,5,1975,Mūrinis,Centrinis,Įrengtas,Sena statyba,Grigiškės,1517.3076923076924
708," Visoriai, Bajorų kel., 2 kambarių butas",www.aruodas.lt/1-3015733,137000,66.0,3,2021-03-26,2021-03-26,1,2,5,7,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Visoriai,2075.757575757576
709," Santariškės, Bajorų kel., 2 kambarių butas",www.aruodas.lt/1-3015731,137000,66.0,0,2021-03-26,2021-03-26,1,2,5,8,2007,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Santariškės,2075.757575757576
710," Naujoji Vilnia, Pergalės g., 3 kambarių butas",www.aruodas.lt/1-3015665,82000,66.0,1,2021-03-26,2021-03-26,1,3,5,5,1971,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1242.4242424242425
711," Naujoji Vilnia, Pergalės g., 3 kambarių butas",www.aruodas.lt/1-3012497,82000,66.0,4,2021-03-18,2021-03-18,1,3,5,5,1968,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujoji Vilnia,1242.4242424242425
712," Naujamiestis, Gerosios Vilties g., 2 kambarių butas",www.aruodas.lt/1-2964577,128900,47.0,95,2021-03-26,2021-04-07,1,2,2,6,2020,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Naujamiestis,2742.553191489362
713," Markučiai, Žibuoklių g., 3 kambarių butas",www.aruodas.lt/1-3015619,65000,61.07,11,2021-03-26,2021-04-05,1,3,1,2,1940,Rąstinis,Kietu kuru,Įrengtas,Sena statyba,Markučiai,1064.3523825118716
714," Pašilaičiai, Laisvės pr., 2 kambarių butas",www.aruodas.lt/1-3015603,85000,44.74,24,2021-03-26,2021-03-28,1,2,2,5,1997,Mūrinis,Centrinis kolektorinis,Įrengtas,Sena statyba,Pašilaičiai,1899.865891819401
715," Šnipiškės, Lvovo g., 3 kambarių butas",www.aruodas.lt/1-3001107,88000,68.0,93,2021-03-26,2021-03-26,1,3,0,4,1940,Mūrinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1294.1176470588234
716," Senamiestis, T. Ševčenkos g., 3 kambarių butas",www.aruodas.lt/1-3015587,132000,54.0,12,2021-03-26,2021-03-26,1,3,2,5,1965,Mūrinis,Centrinis,Įrengtas,Sena statyba,Senamiestis,2444.4444444444443
717," Šnipiškės, Giedraičių g., 2 kambarių butas",www.aruodas.lt/1-3015561,123000,37.2,44,2021-03-26,2021-03-30,1,2,3,4,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja statyba,Šnipiškės,3306.4516129032254
718," Šnipiškės, Rinktinės g., 3 kambarių butas",www.aruodas.lt/1-3015545,122000,63.77,22,2021-03-25,2021-03-26,1,3,6,9,1976,Blokinis,Centrinis,Įrengtas,Sena statyba,Šnipiškės,1913.1252940254037
719," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-3015503,100000,73.0,1,2021-03-25,2021-03-29,1,3,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1369.86301369863
720," Justiniškės, Rygos g., 4 kambarių butas",www.aruodas.lt/1-2999699,100000,73.0,3,2021-03-16,2021-03-31,1,4,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1369.86301369863
721," Justiniškės, Rygos g., 4 kambarių butas",www.aruodas.lt/1-3019597,100000,72.53,2,2021-04-06,2021-04-06,1,4,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1378.7398317937404
722," Justiniškės, Rygos g., 4 kambarių butas",www.aruodas.lt/1-3020175,100000,73.0,0,2021-04-07,2021-04-07,1,4,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1369.86301369863
723," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-2992311,100000,72.96,14,2021-03-24,2021-03-27,1,3,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1370.6140350877195
724," Justiniškės, Rygos g., 4 kambarių butas",www.aruodas.lt/1-3008973,100000,72.53,7,2021-03-09,2021-03-09,1,4,3,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1378.7398317937404
725," Žirmūnai, Žirmūnų g., 3 kambarių butas",www.aruodas.lt/1-3015453,85000,48.91,55,2021-03-25,2021-03-28,1,3,4,5,1965,Blokinis,Centrinis,Įrengtas,Sena statyba,Žirmūnai,1737.8859129012474
726," Lazdynėliai, Lazdynėlių g., 3 kambarių butas",www.aruodas.lt/1-3015385,112200,57.61,3,2021-03-25,2021-03-31,1,3,2,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1947.5785453914252
727," Lazdynėliai, Lazdynėlių g., 3 kambarių butas",www.aruodas.lt/1-2987445,112600,57.6,12,2021-01-12,2021-03-03,1,3,2,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,1954.861111111111
728," Senamiestis, S. Skapo g., 2 kambarių butas",www.aruodas.lt/1-3015439,135000,50.24,33,2021-03-25,2021-03-30,1,2,1,3,1940,Mūrinis,Elektra,Įrengtas,Sena statyba,Senamiestis,2687.101910828025
729," Karoliniškės, Algimanto Petro Kavoliuko g., 3 kambarių butas",www.aruodas.lt/1-3015437,78000,63.0,13,2021-03-25,2021-03-25,1,3,1,5,1973,Blokinis,Centrinis,Įrengtas,Sena statyba,Karoliniškės,1238.095238095238
730," Lazdynai, Architektų g., 2 kambarių butas",www.aruodas.lt/1-3015429,69000,46.23,34,2021-03-25,2021-03-27,1,2,1,5,1970,Blokinis,Centrinis,Įrengtas,Sena statyba,Lazdynai,1492.5373134328358
731," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3015401,92600,45.91,5,2021-03-25,2021-03-29,1,2,2,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2016.989762578959
732," Justiniškės, Spaudos g., 3 kambarių butas",www.aruodas.lt/1-3015389,110000,56.54,3,2021-03-25,2021-03-25,1,3,13,16,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1945.5252918287938
733," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3015433,69000,50.67,31,2021-03-25,2021-03-29,1,2,1,13,1988,Monolitinis,Centrinis,Įrengtas,Sena statyba,Justiniškės,1361.7525162818235
734," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3015377,82400,40.58,5,2021-03-25,2021-03-29,1,2,4,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2030.556924593396
735," Lazdynėliai, Lazdynėlių g., 2 kambarių butas",www.aruodas.lt/1-3001075,82500,40.58,17,2021-02-18,2021-03-30,1,2,4,4,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Lazdynėliai,2033.0211927057665
736," Justiniškės, Rygos g., 3 kambarių butas",www.aruodas.lt/1-2998607,95000,66.0,20,2021-03-25,2021-03-25,1,3,7,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1439.3939393939395
737," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3003761,72000,46.0,17,2021-03-25,2021-03-25,1,2,9,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1565.2173913043478
738," Justiniškės, Rygos g., 2 kambarių butas",www.aruodas.lt/1-3002739,79000,55.0,6,2021-03-25,2021-03-25,1,2,7,9,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1436.3636363636363
